dice,iou,sensitivity,tp,fp,fn,case,slice,score,prompt,gt_voxels,pred_voxels
0.015056461731493099,0.007585335018963337,0.08333333333333333,6,719,66,BraTS2021_00000,49,0.001677891006693244,brain tumor,72,725
0.0,0.0,0.0,0,1637,182,BraTS2021_00000,50,0.0005652653053402901,brain tumor,182,1637
0.0,0.0,0.0,0,876,351,BraTS2021_00000,51,0.0004251951177138835,brain tumor,351,876
0.0,0.0,0.0,0,761,519,BraTS2021_00000,52,0.0006687042769044638,brain tumor,519,761
0.0,0.0,0.0,0,647,650,BraTS2021_00000,53,0.001035435008816421,brain tumor,650,647
0.07971864009378664,0.04151404151404151,0.04409857328145266,34,48,737,BraTS2021_00000,54,0.000483426614664495,brain tumor,771,82
0.052205220522052204,0.026802218114602587,0.03128371089536138,29,155,898,BraTS2021_00000,55,0.001825151965022087,brain tumor,927,184
0.15357766143106458,0.0831758034026465,0.0831758034026465,88,0,970,BraTS2021_00000,56,0.0018855900270864367,brain tumor,1058,88
0.15810276679841898,0.08583690987124463,0.08583690987124463,100,0,1065,BraTS2021_00000,57,0.0006636651232838631,brain tumor,1165,100
0.18835370237239396,0.10396825396825397,0.10396825396825397,131,0,1129,BraTS2021_00000,58,0.000920402817428112,brain tumor,1260,131
0.2210386151797603,0.12425149700598802,0.12425149700598802,166,0,1170,BraTS2021_00000,59,0.0004714278329629451,brain tumor,1336,166
0.13333333333333333,0.07142857142857142,0.07142857142857142,101,0,1313,BraTS2021_00000,60,0.00015420358977280557,brain tumor,1414,101
0.1402831402831403,0.0754325259515571,0.0754325259515571,109,0,1336,BraTS2021_00000,61,0.0001808041415642947,brain tumor,1445,109
0.3857814950339781,0.23898963730569947,0.23898963730569947,369,0,1175,BraTS2021_00000,62,7.78027024352923e-05,brain tumor,1544,369
0.4650947757743874,0.3030120481927711,0.3030120481927711,503,0,1157,BraTS2021_00000,63,6.926655623828992e-05,brain tumor,1660,503
0.4339706536238328,0.2771152754116979,0.2771152754116979,488,0,1273,BraTS2021_00000,64,5.595302354777232e-05,brain tumor,1761,488
0.4220103986135182,0.2674354750137287,0.2674354750137287,487,0,1334,BraTS2021_00000,65,2.5259318135795183e-05,brain tumor,1821,487
0.4356268467707894,0.2784673502428494,0.2784673502428494,516,0,1337,BraTS2021_00000,66,8.192399036488496e-06,brain tumor,1853,516
0.42515723270440253,0.26996805111821087,0.26996805111821087,507,0,1371,BraTS2021_00000,67,8.892112418834586e-06,brain tumor,1878,507
0.38323353293413176,0.23703703703703705,0.23703703703703705,448,0,1442,BraTS2021_00000,68,5.521149068954401e-05,brain tumor,1890,448
0.3616109682947729,0.22071129707112971,0.22071129707112971,422,0,1490,BraTS2021_00000,69,2.7446458261692896e-05,brain tumor,1912,422
0.37225042301184436,0.2286902286902287,0.2286902286902287,440,0,1484,BraTS2021_00000,70,2.131906512659043e-05,brain tumor,1924,440
0.407000407000407,0.2554931016862545,0.2554931016862545,500,0,1457,BraTS2021_00000,71,1.2217637049616314e-05,brain tumor,1957,500
0.3354510800508259,0.2015267175572519,0.2015267175572519,396,0,1569,BraTS2021_00000,72,3.9110524085117504e-05,brain tumor,1965,396
0.43859649122807015,0.2808988764044944,0.2808988764044944,550,0,1408,BraTS2021_00000,73,3.846007530228235e-05,brain tumor,1958,550
0.4003234937323089,0.25025278058645095,0.25025278058645095,495,0,1483,BraTS2021_00000,74,5.4901771363802254e-05,brain tumor,1978,495
0.3785567010309278,0.23346897253306206,0.23346897253306206,459,0,1507,BraTS2021_00000,75,8.86016059666872e-05,brain tumor,1966,459
0.25829596412556055,0.14830072090628219,0.14830072090628219,288,0,1654,BraTS2021_00000,76,5.802122541354038e-05,brain tumor,1942,288
0.37617021276595747,0.23165618448637318,0.23165618448637318,442,0,1466,BraTS2021_00000,77,0.000130135435028933,brain tumor,1908,442
0.3530985287561302,0.21440173253925285,0.21440173253925285,396,0,1451,BraTS2021_00000,78,3.743546039913781e-05,brain tumor,1847,396
0.3086080586080586,0.1824580400649702,0.1824580400649702,337,0,1510,BraTS2021_00000,79,3.702382309711538e-05,brain tumor,1847,337
0.31351869606903165,0.18590108015918136,0.18590108015918136,327,0,1432,BraTS2021_00000,80,7.537047349615023e-05,brain tumor,1759,327
0.2625843279709393,0.15113500597371565,0.15113500597371565,253,0,1421,BraTS2021_00000,81,4.457964314497076e-05,brain tumor,1674,253
0.21807580174927113,0.12238219895287958,0.12238219895287958,187,0,1341,BraTS2021_00000,82,7.888710388215259e-05,brain tumor,1528,187
0.18193632228719947,0.10007147962830593,0.10007147962830593,140,0,1259,BraTS2021_00000,83,0.00017104465223383158,brain tumor,1399,140
0.16537102473498233,0.0901386748844376,0.0901386748844376,117,0,1181,BraTS2021_00000,84,0.00019557747873477638,brain tumor,1298,117
0.16982687551525144,0.09279279279279279,0.09279279279279279,103,0,1007,BraTS2021_00000,85,0.0001725719921523705,brain tumor,1110,103
0.14655942806076855,0.07907425265188042,0.07907425265188042,82,0,955,BraTS2021_00000,86,0.000222049216972664,brain tumor,1037,82
0.049588209796272216,0.02542448217619344,0.3470873786407767,286,10425,538,BraTS2021_00000,87,1.3505586139217485e-05,brain tumor,824,10711
0.02578960254631519,0.013063249276560562,0.2383107088989442,158,11432,505,BraTS2021_00000,88,1.080971833289368e-05,brain tumor,663,11590
0.028549501151189562,0.014481469947056992,0.39914163090128757,186,12378,280,BraTS2021_00000,89,8.450624591205269e-06,brain tumor,466,12564
0.4869791666666667,0.3218588640275387,0.5483870967741935,187,240,154,BraTS2021_00000,90,3.42901585099753e-05,brain tumor,341,427
0.028286575469510782,0.014346190028222013,0.9384615384615385,183,12561,12,BraTS2021_00000,91,5.048318053013645e-05,brain tumor,195,12744
0.018351296242353626,0.009260620314567102,1.0,126,13480,0,BraTS2021_00000,92,4.8142428568098694e-05,brain tumor,126,13606
0.009730644478916937,0.004889109331821725,1.0,69,14044,0,BraTS2021_00000,93,4.127946886001155e-05,brain tumor,69,14113
0.005167195689082454,0.0025902901124925993,1.0,35,13477,0,BraTS2021_00000,94,2.5360648578498513e-05,brain tumor,35,13512
0.002921200613452129,0.001462736780516346,1.0,20,13653,0,BraTS2021_00000,95,3.1980711355572566e-05,brain tumor,20,13673
